City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Harindanga,IN,2021-10-09 02:27:22,22.0383,88.3214,85.98,78,95,2.17
248,Guerrero Negro,MX,2021-10-09 02:24:16,27.9769,-114.0611,72.3,79,3,19.33
249,Sabang,ID,2021-10-09 02:27:23,5.8933,95.3214,82.58,75,100,19.15
250,Yakima,US,2021-10-09 02:27:23,46.4665,-120.6678,59.58,52,75,4.0
251,Sao Domingos,BR,2021-10-09 02:27:24,-13.3983,-46.3183,85.46,22,96,6.8
252,Cidreira,BR,2021-10-09 02:25:04,-30.1811,-50.2056,63.61,78,98,17.45
253,Mineral Wells,US,2021-10-09 02:27:24,32.8085,-98.1128,81.68,53,1,8.05
254,Umm Lajj,SA,2021-10-09 02:25:27,25.0213,37.2685,82.67,54,5,10.4
255,Tuatapere,NZ,2021-10-09 02:23:55,-46.1333,167.6833,55.81,53,23,6.06
256,Araouane,ML,2021-10-09 02:27:25,18.9048,-3.5265,86.09,13,57,6.64
257,Nacogdoches,US,2021-10-09 02:27:25,31.6002,-94.6335,76.19,71,1,0.0
258,Camana,PE,2021-10-09 02:27:26,-16.6228,-72.7111,62.78,93,97,10.94
259,Zharkent,KZ,2021-10-09 02:27:26,44.1628,80.0,44.64,28,25,0.87
260,Caraquet,CA,2021-10-09 02:25:28,47.7941,-64.9386,39.74,93,0,2.06
261,Mazagao,BR,2021-10-09 02:27:26,-0.115,-51.2894,86.05,82,98,5.46
262,Dikson,RU,2021-10-09 02:24:03,73.5069,80.5464,28.04,78,100,24.32
263,Kinangan,PH,2021-10-09 02:27:27,6.3014,125.585,84.07,67,100,6.31
264,Bhaderwah,IN,2021-10-09 02:27:27,32.9784,75.7186,59.95,47,0,2.24
265,Gamba,GA,2021-10-09 02:27:28,-2.65,10.0,76.41,91,100,6.91
266,Ocampo,MX,2021-10-09 02:27:28,21.65,-101.5,56.55,57,16,7.85
267,Gizo,SB,2021-10-09 02:27:28,-8.103,156.8419,83.35,75,75,6.93
268,Hithadhoo,MV,2021-10-09 02:24:24,-0.6,73.0833,82.49,72,99,8.01
269,Highland,US,2021-10-09 02:25:09,34.1283,-117.2086,64.76,82,93,1.01
270,Bengkulu,ID,2021-10-09 02:24:43,-3.8004,102.2655,82.58,71,15,7.76
271,Nanchang,CN,2021-10-09 02:23:16,28.6833,115.8833,76.75,74,99,9.91
272,Seabra,BR,2021-10-09 02:27:29,-12.4186,-41.7703,69.13,63,1,8.08
273,Fort Nelson,CA,2021-10-09 02:27:30,58.8053,-122.7002,49.59,43,75,5.75
274,Verkhniy Ufaley,RU,2021-10-09 02:27:30,56.0567,60.2306,32.88,85,47,7.58
275,Bentiu,SS,2021-10-09 02:27:30,9.2333,29.8333,73.81,88,74,3.96
276,Inhambane,MZ,2021-10-09 02:27:31,-23.865,35.3833,69.26,74,0,7.87
277,Wanaka,NZ,2021-10-09 02:19:24,-44.7,169.15,54.93,64,93,1.12
278,Srivardhan,IN,2021-10-09 02:27:31,18.0333,73.0167,78.1,90,74,6.78
279,Porbandar,IN,2021-10-09 02:27:32,21.6422,69.6093,80.58,94,20,4.61
280,Mawlamyine,MM,2021-10-09 02:27:32,16.4914,97.6256,80.53,84,90,4.05
281,Kagadi,UG,2021-10-09 02:27:32,0.9606,30.7967,62.64,97,77,1.36
282,Bezhta,RU,2021-10-09 02:27:33,42.1338,46.1283,28.83,92,77,1.36
283,Chemainus,CA,2021-10-09 02:26:23,48.9163,-123.7194,51.6,83,1,3.44
284,Andradina,BR,2021-10-09 02:27:33,-20.8961,-51.3794,77.85,54,100,6.8
285,Mehamn,NO,2021-10-09 02:27:34,71.0357,27.8492,36.7,72,100,9.78
286,Tazovskiy,RU,2021-10-09 02:27:34,67.4667,78.7,33.73,91,100,15.01
287,Hirara,JP,2021-10-09 02:25:45,24.8,125.2833,87.66,70,20,16.11
288,Kenora,CA,2021-10-09 02:27:34,49.8167,-94.4337,63.57,94,90,3.44
289,Bavly,RU,2021-10-09 02:27:35,54.393,53.2602,35.96,75,6,3.24
290,Ankang,CN,2021-10-09 02:27:35,32.68,109.0172,67.66,78,100,2.06
291,Gat,IL,2021-10-09 02:27:35,31.61,34.7642,72.39,69,0,4.23
292,Carnarvon,AU,2021-10-09 02:23:58,-24.8667,113.6333,69.87,46,0,23.02
293,Olinda,BR,2021-10-09 02:27:36,-8.0089,-34.8553,80.33,78,40,9.22
